Order_ID,Order_Date,Origin_City,Destination_City,Route_Type,Transportation_Mode,Product_Category,Base_Lead_Time_Days,Scheduled_Lead_Time_Days,Actual_Lead_Time_Days,Delay_Days,Delivery_Status,Disruption_Event,Geopolitical_Risk_Index,Weather_Severity_Index,Inflation_Rate_Pct,Shipping_Cost_USD,Order_Weight_Kg,Mitigation_Action_Taken
ORD-08C099F4,2024-08-31,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,20,18,0,On Time,,0.6,2.3,3.46,7224.8,9031,Standard Shipping
ORD-F76C7734,2024-11-26,"Shanghai, CN","Los Angeles, US",Pacific,Air,Pharmaceuticals,2,5,2,0,On Time,,0.22,9.7,3.05,11178.86,1666,Standard Shipping
ORD-86BEAFAD,2025-11-13,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,19,18,0,On Time,,0.83,9.6,4.97,7432.55,8123,Standard Shipping
ORD-472D41A1,2025-12-23,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,20,18,0,On Time,,0.89,1.1,2.56,7652.61,8098,Standard Shipping
ORD-63BA676A,2025-09-20,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Pharmaceuticals,18,19,27,8,Late,Severe Weather (Typhoon/Storm),0.74,8.0,4.06,10066.25,6428,Expedited Air Freight
ORD-A982158D,2025-03-26,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,20,18,0,On Time,,0.7,0.7,4.05,727.6,856,Standard Shipping
ORD-F2CBF0BF,2025-02-13,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,20,19,0,On Time,,0.3,0.5,1.7,126.1,194,Standard Shipping
ORD-60A23C98,2024-04-23,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,19,18,0,On Time,,0.55,5.0,3.35,2166.9,2796,Standard Shipping
ORD-741DA2A5,2025-05-04,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,5,2,0,On Time,,0.57,2.4,5.6,65677.81,7606,Standard Shipping
ORD-D4520D55,2025-12-25,"Shanghai, CN","Los Angeles, US",Pacific,Air,Pharmaceuticals,2,3,1,0,On Time,,0.67,7.6,3.99,45226.94,4924,Standard Shipping
ORD-BC2F3080,2025-01-09,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,4,2,0,On Time,,0.6,1.0,4.14,67328.8,7651,Standard Shipping
ORD-3CF505B8,2025-09-20,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,20,27,7,Late,Severe Weather (Typhoon/Storm),0.58,1.2,3.63,5389.38,5685,Standard Shipping
ORD-3F3DE9CB,2025-10-11,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,19,19,0,On Time,,0.56,6.2,3.04,1135.68,1456,Standard Shipping
ORD-CDDBDED0,2024-10-09,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,3,2,0,On Time,,0.13,4.4,2.62,40142.68,6459,Standard Shipping
ORD-7C57A606,2025-02-04,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,21,23,2,Late,Port Congestion,0.32,2.2,5.66,1175.39,1619,Standard Shipping
ORD-966699C9,2024-12-06,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Pharmaceuticals,18,19,18,0,On Time,,0.61,0.3,4.75,6328.1,7861,Standard Shipping
ORD-2EF3AFD3,2025-12-08,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,4,2,0,On Time,,0.62,9.4,3.87,30302.91,3401,Standard Shipping
ORD-D11884FC,2024-01-30,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,3,6,3,Late,Port Congestion,0.18,5.0,2.64,56926.39,5316,Expedited Air Freight
ORD-320688F2,2024-12-24,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,19,18,0,On Time,,0.61,0.4,4.37,770.38,957,Standard Shipping
ORD-017C7796,2024-03-20,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,5,2,0,On Time,,0.42,8.0,3.22,22875.49,2929,Standard Shipping
ORD-A0D19758,2024-11-29,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,19,18,0,On Time,,0.72,2.8,4.19,3943.1,4585,Standard Shipping
ORD-24BF2A34,2026-01-03,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,3,2,0,On Time,,0.45,0.5,4.26,14937.17,1873,Standard Shipping
ORD-29F481EA,2024-10-17,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,20,18,0,On Time,,0.75,2.4,4.88,2643.38,3021,Standard Shipping
ORD-B0C9FBA4,2024-03-19,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,3,1,0,On Time,,0.51,0.9,3.7,6577.56,792,Standard Shipping
ORD-DE624E53,2024-12-18,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,19,18,0,On Time,,0.42,4.1,4.53,1192.09,1679,Standard Shipping
ORD-83425721,2024-01-14,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,20,18,0,On Time,,0.4,2.2,4.16,1916.6,2738,Standard Shipping
ORD-EE7BCC08,2024-04-06,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,3,3,0,On Time,,0.87,7.2,2.77,82670.83,8038,Standard Shipping
ORD-F43FB861,2024-02-07,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,20,18,0,On Time,,0.62,9.8,3.21,7461.72,9212,Standard Shipping
ORD-B25B82CF,2025-08-09,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,20,19,0,On Time,,0.16,1.9,3.7,3734.62,6439,Standard Shipping
ORD-EB506E90,2025-06-06,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,19,18,0,On Time,,0.11,5.3,2.37,5214.78,9396,Standard Shipping
ORD-168153C3,2025-05-11,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,19,18,0,On Time,,0.81,6.9,4.61,7831.87,8654,Standard Shipping
ORD-C510A95E,2024-05-07,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,5,2,0,On Time,,0.43,8.3,4.06,37759.86,4801,Standard Shipping
ORD-439B52DE,2024-04-18,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,21,18,0,On Time,,0.82,5.4,2.94,1809.08,1988,Standard Shipping
ORD-BA04E21A,2025-09-03,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Semiconductors,18,19,18,0,On Time,,0.44,2.6,3.43,4470.48,6209,Standard Shipping
ORD-48F29CB5,2025-04-03,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,5,2,0,On Time,,0.67,9.5,3.64,51683.99,5627,Standard Shipping
ORD-A473B9CA,2025-09-22,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,19,18,0,On Time,,0.27,3.8,2.75,2458.72,3872,Standard Shipping
ORD-EE2355AF,2024-10-22,"Shanghai, CN","Los Angeles, US",Pacific,Air,Pharmaceuticals,2,4,2,0,On Time,,0.12,3.4,2.2,27023.92,4387,Standard Shipping
ORD-7F7E5AED,2024-01-14,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,20,18,0,On Time,,0.66,1.6,4.67,8046.85,9695,Standard Shipping
ORD-E4D979CC,2024-02-12,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,21,19,0,On Time,,0.59,3.1,6.94,5628.6,7080,Standard Shipping
ORD-FE17E01E,2024-09-29,"Shanghai, CN","Los Angeles, US",Pacific,Air,Pharmaceuticals,2,4,3,0,On Time,,0.41,5.3,4.49,45227.16,5832,Standard Shipping
ORD-E74BA0A8,2024-09-13,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Semiconductors,18,21,26,5,Late,Severe Weather (Typhoon/Storm),0.24,6.1,0.48,10642.18,9536,Expedited Air Freight
ORD-7DB4B12F,2025-04-07,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,21,19,0,On Time,,0.78,4.7,4.13,2557.86,2874,Standard Shipping
ORD-1685048B,2024-06-12,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Semiconductors,18,21,17,0,On Time,,0.24,9.0,3.34,4000.86,6453,Standard Shipping
ORD-CC216C74,2025-05-02,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,21,17,0,On Time,,0.38,5.8,2.45,4567.11,6619,Standard Shipping
ORD-E4CCA432,2025-06-14,"Shanghai, CN","Los Angeles, US",Pacific,Air,Pharmaceuticals,2,3,2,0,On Time,,0.74,2.1,3.54,79756.38,8334,Standard Shipping
ORD-08728612,2025-12-19,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,21,18,0,On Time,,0.42,1.5,4.56,5577.05,7855,Standard Shipping
ORD-A54E0953,2025-12-27,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,5,3,0,On Time,,0.42,2.8,3.25,20813.65,2665,Standard Shipping
ORD-5BF8ED9C,2025-01-13,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,21,18,0,On Time,,0.25,2.9,4.25,701.88,1123,Standard Shipping
ORD-FEA6C213,2024-11-20,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,21,17,0,On Time,,0.88,8.2,2.49,7016.16,7464,Standard Shipping
ORD-4E1A16B9,2024-04-06,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Semiconductors,18,20,18,0,On Time,,0.2,8.9,3.8,688.8,1148,Standard Shipping
ORD-719E5027,2024-03-17,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,19,18,0,On Time,,0.46,7.5,4.8,4047.85,5545,Standard Shipping
ORD-4E3DDB06,2024-03-16,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,20,18,0,On Time,,0.38,5.5,2.97,3276.12,4748,Standard Shipping
ORD-AF8B454D,2024-12-21,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Pharmaceuticals,18,21,18,0,On Time,,0.28,9.9,4.06,3228.8,5045,Standard Shipping
ORD-E55013FC,2024-11-15,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,19,25,6,Late,Port Congestion,0.12,6.8,5.21,5346.88,8680,Standard Shipping
ORD-0B295565,2025-10-12,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,20,18,0,On Time,,0.39,3.0,1.7,1200.96,1728,Standard Shipping
ORD-47B8AD73,2025-02-25,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Semiconductors,18,21,18,0,On Time,,0.33,2.7,6.37,2406.64,3619,Standard Shipping
ORD-B98BDCC9,2024-02-19,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,19,20,1,Late,Port Congestion,0.29,9.9,3.48,4265.51,6012,Standard Shipping
ORD-BAC1AD04,2024-05-27,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,5,3,0,On Time,,0.56,0.4,4.0,38978.94,4543,Standard Shipping
ORD-3C588956,2024-08-05,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,20,18,0,On Time,,0.17,1.0,1.63,1848.6,3160,Standard Shipping
ORD-D4389821,2025-10-15,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,19,19,0,On Time,,0.49,6.0,5.27,6582.82,8836,Standard Shipping
ORD-7447578D,2024-02-22,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,3,2,0,On Time,,0.48,8.6,0.14,46072.4,5660,Standard Shipping
ORD-15FEEFA3,2024-09-04,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,21,18,0,On Time,,0.58,5.8,3.67,4913.8,6220,Standard Shipping
ORD-CFAA2C48,2024-07-24,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Semiconductors,18,20,20,0,On Time,,0.58,5.5,4.11,4298.39,5441,Standard Shipping
ORD-737E11F1,2024-01-15,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,20,18,0,On Time,,0.53,9.8,4.32,323.6,423,Standard Shipping
ORD-46D62FFB,2024-01-21,"Shanghai, CN","Los Angeles, US",Pacific,Air,Pharmaceuticals,2,4,2,0,On Time,,0.31,6.4,4.58,14698.2,2040,Standard Shipping
ORD-237F3AE3,2024-04-08,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,21,18,0,On Time,,0.39,1.7,4.37,2647.26,3809,Standard Shipping
ORD-F2E659A6,2025-12-31,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,20,23,3,Late,Port Congestion,0.51,7.1,4.02,3609.35,4346,Standard Shipping
ORD-8E83DDDB,2025-10-30,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,21,17,0,On Time,,0.69,7.8,3.61,2155.59,2551,Standard Shipping
ORD-256A202C,2024-09-04,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,21,17,0,On Time,,0.36,0.9,3.23,1723.8,2535,Standard Shipping
ORD-407E8CA9,2025-04-20,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,21,22,1,Late,Port Congestion,0.4,9.2,2.77,3652.11,4743,Standard Shipping
ORD-C2B5E6A7,2024-11-29,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Semiconductors,18,20,23,3,Late,Port Congestion,0.7,7.3,3.29,7137.32,5089,Expedited Air Freight
ORD-0A7BCC65,2025-11-16,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,21,18,0,On Time,,0.23,7.0,3.24,2108.84,3429,Standard Shipping
ORD-D380308F,2025-06-20,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,19,18,0,On Time,,0.89,2.1,3.38,95.45,101,Standard Shipping
ORD-549CB39C,2025-11-02,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,4,2,0,On Time,,0.62,9.1,1.47,35622.18,3998,Standard Shipping
ORD-50B2ED31,2025-07-28,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,19,20,1,Late,,0.84,8.3,4.24,5423.4,5895,Standard Shipping
ORD-5047258C,2025-11-16,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,21,18,0,On Time,,0.58,0.8,2.5,5475.49,6931,Standard Shipping
ORD-901A24E5,2024-08-21,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,21,19,0,On Time,,0.15,6.2,4.42,5325.07,9261,Standard Shipping
ORD-1DC0A812,2025-08-22,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,21,18,0,On Time,,0.19,4.6,0.82,4861.15,8170,Standard Shipping
ORD-E556AB21,2024-05-08,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,21,20,0,On Time,,0.51,1.9,3.3,5127.2,6791,Standard Shipping
ORD-A5F448CC,2024-02-01,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,19,18,0,On Time,,0.49,2.5,3.54,1021.39,1371,Standard Shipping
ORD-BCEF952F,2024-04-10,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,19,18,0,On Time,,0.21,6.2,3.78,2306.26,3812,Standard Shipping
ORD-4C50586E,2025-02-12,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,21,17,0,On Time,,0.45,8.1,3.44,4260.1,5876,Standard Shipping
ORD-A58032FA,2025-04-11,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,21,18,0,On Time,,0.69,2.1,1.94,3870.1,4580,Standard Shipping
ORD-F5F5EFAD,2024-04-11,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Semiconductors,18,19,18,0,On Time,,0.43,9.8,2.37,5399.68,7552,Standard Shipping
ORD-CC569CAF,2024-07-26,"Shanghai, CN","Los Angeles, US",Pacific,Air,Pharmaceuticals,2,3,2,0,On Time,,0.75,4.6,2.73,95470.38,9919,Standard Shipping
ORD-39080F0D,2024-04-20,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,21,22,1,Late,Port Congestion,0.89,4.4,5.69,8076.91,7770,Standard Shipping
ORD-56BCF973,2025-05-04,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,20,18,0,On Time,,0.85,4.0,3.51,6351.98,6867,Standard Shipping
ORD-8C442501,2024-03-13,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,21,19,0,On Time,,0.43,0.1,5.12,5872.3,8213,Standard Shipping
ORD-3FA5619F,2025-10-17,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,20,16,0,On Time,,0.76,0.1,5.01,3534.96,4017,Standard Shipping
ORD-350C2980,2025-05-05,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,19,20,1,Late,,0.7,9.6,4.72,2985.2,3512,Standard Shipping
ORD-C7244341,2024-02-18,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,21,18,0,On Time,,0.14,6.5,3.01,2644.23,4639,Standard Shipping
ORD-783894EB,2025-02-02,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,19,19,0,On Time,,0.82,6.6,3.97,8245.51,9061,Standard Shipping
ORD-ECA7ABC4,2025-12-07,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,21,16,0,On Time,,0.83,1.2,4.43,461.16,504,Standard Shipping
ORD-F71F708A,2025-11-11,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,21,18,0,On Time,,0.44,0.3,3.09,2140.56,2973,Standard Shipping
ORD-24A34BFA,2025-11-02,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,21,18,0,On Time,,0.31,9.4,4.45,2859.73,4366,Standard Shipping
ORD-C3A097DD,2025-11-30,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Semiconductors,18,21,18,0,On Time,,0.3,7.0,3.56,1494.35,2299,Standard Shipping
ORD-55ABB92F,2024-01-08,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,5,3,0,On Time,,0.6,4.2,3.57,40145.6,4562,Standard Shipping
ORD-CD52BFA2,2025-02-13,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,20,18,0,On Time,,0.29,2.3,4.56,3710.04,5752,Standard Shipping
ORD-58C37360,2024-04-20,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,20,18,0,On Time,,0.88,8.6,5.49,7437.28,7912,Standard Shipping
ORD-BE72C2F5,2025-07-12,"Shanghai, CN","Los Angeles, US",Pacific,Air,Pharmaceuticals,2,5,3,0,On Time,,0.67,7.4,4.69,6236.61,679,Standard Shipping
ORD-0164A693,2025-07-31,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,20,18,0,On Time,,0.38,5.5,4.8,155.25,225,Standard Shipping
ORD-8FB80EAE,2024-03-22,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,19,18,0,On Time,,0.78,2.9,1.81,4444.66,4994,Standard Shipping
ORD-A4336282,2024-02-07,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,20,18,0,On Time,,0.33,6.3,3.46,662.34,996,Standard Shipping
ORD-A8500097,2025-05-18,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,19,19,0,On Time,,0.87,4.1,2.92,5977.45,6393,Standard Shipping
ORD-B87653C9,2024-03-25,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,21,17,0,On Time,,0.86,9.3,1.98,8295.6,8920,Standard Shipping
ORD-AABD86DB,2025-06-01,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,21,19,0,On Time,,0.19,5.3,2.2,3581.9,6020,Standard Shipping
ORD-CC98247B,2025-12-02,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,20,22,2,Late,Port Congestion,0.72,1.5,2.37,2499.33,2642,Standard Shipping
ORD-C85CEF8C,2024-08-12,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,4,3,0,On Time,,0.1,9.8,2.6,58878.6,9732,Standard Shipping
ORD-8CEA35E0,2024-04-17,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,19,17,0,On Time,,0.8,8.3,3.11,792.9,881,Standard Shipping
ORD-9829B4A2,2024-01-26,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,21,18,0,On Time,,0.66,2.0,2.29,4540.1,5470,Standard Shipping
ORD-3050E3FE,2025-02-25,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,19,18,0,On Time,,0.86,9.1,3.49,9143.76,9832,Standard Shipping
ORD-7BE59732,2024-01-26,"Shanghai, CN","Los Angeles, US",Pacific,Air,Pharmaceuticals,2,3,3,0,On Time,,0.29,8.3,4.97,34822.26,4908,Standard Shipping
ORD-54B3FB79,2025-08-21,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,19,19,0,On Time,,0.49,8.9,2.64,2602.28,3493,Standard Shipping
ORD-4BF3F10F,2024-02-22,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,20,18,0,On Time,,0.63,7.8,1.71,1625.92,1995,Standard Shipping
ORD-FEA8ED52,2025-04-21,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Pharmaceuticals,18,20,18,0,On Time,,0.88,8.3,4.34,2862.3,3045,Standard Shipping
ORD-E68EB825,2024-07-14,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,20,19,0,On Time,,0.21,5.4,3.72,3939.15,6511,Standard Shipping
ORD-913FA802,2024-04-11,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,19,17,0,On Time,,0.11,4.5,4.27,2061.27,3714,Standard Shipping
ORD-BB363FA6,2025-01-14,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,21,18,0,On Time,,0.79,9.3,3.18,3901.31,4359,Standard Shipping
ORD-FE199A39,2024-03-27,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Pharmaceuticals,18,20,16,0,On Time,,0.76,5.6,3.03,1518.88,1726,Standard Shipping
ORD-6A9804DD,2025-11-12,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,19,18,0,On Time,,0.43,6.6,2.77,3805.94,5323,Standard Shipping
ORD-63A58141,2025-10-15,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,21,18,0,On Time,,0.6,8.2,2.68,1008.0,1260,Standard Shipping
ORD-70EDF63F,2024-07-25,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,5,10,5,Late,Severe Weather (Typhoon/Storm),0.48,8.5,5.05,89758.15,6126,Expedited Air Freight
ORD-BB5228A4,2025-02-10,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,21,22,1,Late,Port Congestion,0.36,7.8,2.68,1571.55,2101,Standard Shipping
ORD-8B8E3CBE,2024-07-13,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Semiconductors,18,20,25,5,Late,Severe Weather (Typhoon/Storm),0.41,7.6,3.24,10065.71,7932,Expedited Air Freight
ORD-A1CFD1AE,2025-06-17,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,20,18,0,On Time,,0.61,7.3,5.05,7203.14,8948,Standard Shipping
ORD-4C8877E2,2025-01-22,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,20,18,0,On Time,,0.56,9.3,5.49,3882.84,4978,Standard Shipping
ORD-74C703C9,2025-06-01,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,5,1,0,On Time,,0.52,2.9,3.45,66236.28,7923,Standard Shipping
ORD-DFE8B23B,2024-06-27,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Pharmaceuticals,18,19,18,0,On Time,,0.47,1.5,2.84,2826.81,3846,Standard Shipping
ORD-F2EA2669,2025-12-01,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,19,18,0,On Time,,0.2,9.6,3.53,3550.2,5917,Standard Shipping
ORD-0CF2D119,2025-05-28,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,20,18,0,On Time,,0.49,7.3,2.16,5237.35,7030,Standard Shipping
ORD-2F3E30EA,2024-06-23,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,20,18,0,On Time,,0.14,2.9,3.63,1837.11,3223,Standard Shipping
ORD-2A82CF13,2024-11-17,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,19,18,0,On Time,,0.69,9.4,3.04,1458.47,1726,Standard Shipping
ORD-DE70C83B,2025-04-06,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,20,18,0,On Time,,0.29,9.2,3.61,1061.03,1645,Standard Shipping
