origin_port,origin_name,destination_port,destination_name,carrier,vessel_name,departure_date,scheduled_arrival,actual_arrival,scheduled_days,actual_days,delay_days,year,month,on_time,id
TWTXG,Taichung,USLAX,Los Angeles,COSCO Shipping,Yang Ming Pioneer,2022-01-08,2022-01-22,2022-01-22,14,14,0,2022,1,True,30
TWTPE,Taipei (Keelung),USSEA,Seattle,ONE (Ocean Network Express),Ever Triumph,2022-01-09,2022-01-23,2022-01-23,14,14,0,2022,1,True,31
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Maersk Line,ONE Crown,2022-01-11,2022-01-26,2022-01-27,15,16.7,1.7,2022,1,False,32
TWTPE,Taipei (Keelung),USOAK,Oakland,HMM,Yang Ming Champion,2022-01-11,2022-01-25,2022-01-25,14,14,0,2022,1,True,33
TWTPE,Taipei (Keelung),USLGB,Long Beach,Evergreen Marine,MSC Excellence,2022-01-08,2022-01-23,2022-01-23,15,15,0,2022,1,True,34
TWKHH,Kaohsiung,USLAX,Los Angeles,HMM,Maersk Diamond,2022-01-12,2022-01-26,2022-01-26,14,14.2,0.2,2022,1,True,35
TWTXG,Taichung,USLGB,Long Beach,Yang Ming,ONE Triumph,2022-01-08,2022-01-22,2022-01-22,14,14,0,2022,1,True,36
TWKHH,Kaohsiung,USLAX,Los Angeles,COSCO Shipping,COSCO Glory,2022-01-13,2022-01-27,2022-01-27,14,14,0,2022,1,True,37
TWTXG,Taichung,USLGB,Long Beach,Evergreen Marine,Maersk Glory,2022-01-12,2022-01-26,2022-01-26,14,14,0,2022,1,True,38
TWTPE,Taipei (Keelung),USOAK,Oakland,COSCO Shipping,MSC Star,2022-01-10,2022-01-24,2022-01-24,14,14,0,2022,1,True,39
TWTPE,Taipei (Keelung),USLGB,Long Beach,ONE (Ocean Network Express),Yang Ming Ace,2022-01-10,2022-01-25,2022-01-25,15,15,0,2022,1,True,40
TWTXG,Taichung,USLAX,Los Angeles,Evergreen Marine,ONE Progress,2022-01-18,2022-02-01,2022-02-01,14,14.1,0.1,2022,1,True,41
TWKHH,Kaohsiung,USLGB,Long Beach,HMM,Wan Hai Leader,2022-01-21,2022-02-04,2022-02-04,14,14,0,2022,1,True,42
TWKHH,Kaohsiung,USLGB,Long Beach,COSCO Shipping,COSCO Excellence,2022-01-15,2022-01-29,2022-01-29,14,14,0,2022,1,True,43
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Maersk Line,Wan Hai Ace,2022-01-21,2022-02-05,2022-02-05,15,15,0,2022,1,True,44
TWTXG,Taichung,USSEA,Seattle,MSC,Ever Glory,2022-01-20,2022-02-03,2022-02-03,14,14,0,2022,1,True,45
TWTPE,Taipei (Keelung),USLGB,Long Beach,Maersk Line,Ever Glory,2022-01-19,2022-02-03,2022-02-03,15,15,0,2022,1,True,46
TWTXG,Taichung,USSEA,Seattle,MSC,COSCO Unity,2022-01-17,2022-01-31,2022-01-31,14,14,0,2022,1,True,47
TWTXG,Taichung,USLAX,Los Angeles,COSCO Shipping,Wan Hai Fortune,2022-01-18,2022-02-01,2022-02-01,14,14.4,0.4,2022,1,True,48
TWTXG,Taichung,USSEA,Seattle,COSCO Shipping,Wan Hai Pioneer,2022-01-15,2022-01-29,2022-01-29,14,14,0,2022,1,True,49
TWKHH,Kaohsiung,USOAK,Oakland,MSC,MSC Pearl,2022-01-19,2022-02-01,2022-02-01,13,13,0,2022,1,True,50
TWKHH,Kaohsiung,USOAK,Oakland,Maersk Line,MSC Pioneer,2022-01-19,2022-02-01,2022-02-01,13,13,0,2022,1,True,51
TWTPE,Taipei (Keelung),USSEA,Seattle,Maersk Line,Maersk Triumph,2022-01-20,2022-02-03,2022-02-03,14,14,0,2022,1,True,52
TWKHH,Kaohsiung,USSEA,Seattle,ONE (Ocean Network Express),MSC Star,2022-01-20,2022-02-01,2022-02-01,12,12,0,2022,1,True,53
TWKHH,Kaohsiung,USOAK,Oakland,Evergreen Marine,Wan Hai Leader,2022-01-18,2022-01-31,2022-01-31,13,13,0,2022,1,True,54
TWKHH,Kaohsiung,USSEA,Seattle,MSC,COSCO Progress,2022-01-21,2022-02-02,2022-02-02,12,12.4,0.4,2022,1,True,55
TWTPE,Taipei (Keelung),USLGB,Long Beach,HMM,ONE Diamond,2022-01-19,2022-02-03,2022-02-03,15,15.3,0.3,2022,1,True,56
TWTXG,Taichung,USLGB,Long Beach,Yang Ming,Wan Hai Success,2022-01-20,2022-02-03,2022-02-03,14,14,0,2022,1,True,57
TWTXG,Taichung,USOAK,Oakland,COSCO Shipping,MSC Leader,2022-01-15,2022-01-29,2022-01-29,14,14,0,2022,1,True,58
TWKHH,Kaohsiung,USLGB,Long Beach,Evergreen Marine,Ever Champion,2022-01-16,2022-01-30,2022-01-30,14,14,0,2022,1,True,59
TWTPE,Taipei (Keelung),USLAX,Los Angeles,ONE (Ocean Network Express),MSC Unity,2022-01-18,2022-02-02,2022-02-02,15,15.3,0.3,2022,1,True,60
TWKHH,Kaohsiung,USSEA,Seattle,Evergreen Marine,Wan Hai Pioneer,2022-01-23,2022-02-04,2022-02-04,12,12,0,2022,1,True,61
TWTPE,Taipei (Keelung),USLGB,Long Beach,MSC,Wan Hai Crown,2022-01-25,2022-02-09,2022-02-09,15,15,0,2022,1,True,62
TWTPE,Taipei (Keelung),USOAK,Oakland,ONE (Ocean Network Express),Wan Hai Pearl,2022-01-28,2022-02-11,2022-02-11,14,14,0,2022,1,True,63
TWKHH,Kaohsiung,USSEA,Seattle,Evergreen Marine,Wan Hai Champion,2022-01-22,2022-02-03,2022-02-03,12,12,0,2022,1,True,64
TWTXG,Taichung,USLAX,Los Angeles,Evergreen Marine,ONE Fortune,2022-01-28,2022-02-11,2022-02-11,14,14.2,0.2,2022,1,True,65
TWKHH,Kaohsiung,USLGB,Long Beach,Evergreen Marine,Maersk Triumph,2022-01-28,2022-02-11,2022-02-11,14,14.8,0.8,2022,1,True,66
TWKHH,Kaohsiung,USLGB,Long Beach,Yang Ming,Maersk Champion,2022-01-25,2022-02-08,2022-02-08,14,14,0,2022,1,True,67
TWTPE,Taipei (Keelung),USOAK,Oakland,MSC,Yang Ming Unity,2022-01-28,2022-02-11,2022-02-11,14,14.4,0.4,2022,1,True,68
TWTXG,Taichung,USLAX,Los Angeles,Wan Hai Lines,Wan Hai Glory,2022-01-28,2022-02-11,2022-02-11,14,14,0,2022,1,True,69
TWTXG,Taichung,USLAX,Los Angeles,ONE (Ocean Network Express),COSCO Star,2022-01-24,2022-02-07,2022-02-07,14,14,0,2022,1,True,70
TWKHH,Kaohsiung,USLAX,Los Angeles,COSCO Shipping,Ever Star,2022-01-26,2022-02-09,2022-02-09,14,14,0,2022,1,True,71
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Evergreen Marine,Wan Hai Success,2022-01-28,2022-02-12,2022-02-13,15,16.1,1.1,2022,1,False,72
TWTPE,Taipei (Keelung),USOAK,Oakland,MSC,Ever Pearl,2022-01-22,2022-02-05,2022-02-05,14,14,0,2022,1,True,73
TWTPE,Taipei (Keelung),USSEA,Seattle,ONE (Ocean Network Express),Wan Hai Ace,2022-01-22,2022-02-05,2022-02-06,14,15.1,1.1,2022,1,False,74
TWTPE,Taipei (Keelung),USLGB,Long Beach,Wan Hai Lines,MSC Success,2022-01-25,2022-02-09,2022-02-09,15,15,0,2022,1,True,75
TWTXG,Taichung,USOAK,Oakland,HMM,COSCO Pioneer,2022-01-26,2022-02-09,2022-02-09,14,14.2,0.2,2022,1,True,76
TWTXG,Taichung,USOAK,Oakland,COSCO Shipping,ONE Diamond,2022-01-24,2022-02-07,2022-02-07,14,14,0,2022,1,True,77
TWKHH,Kaohsiung,USOAK,Oakland,COSCO Shipping,ONE Progress,2022-01-25,2022-02-07,2022-02-07,13,13,0,2022,1,True,78
TWTXG,Taichung,USSEA,Seattle,Evergreen Marine,COSCO Pearl,2022-01-24,2022-02-07,2022-02-07,14,14,0,2022,1,True,79
TWTPE,Taipei (Keelung),USLGB,Long Beach,COSCO Shipping,Wan Hai Crown,2022-01-25,2022-02-09,2022-02-09,15,15,0,2022,1,True,80
TWKHH,Kaohsiung,USLGB,Long Beach,Yang Ming,Yang Ming Champion,2022-01-31,2022-02-14,2022-02-14,14,14,0,2022,1,True,81
TWKHH,Kaohsiung,USLAX,Los Angeles,Evergreen Marine,COSCO Progress,2022-01-30,2022-02-13,2022-02-13,14,14,0,2022,1,True,82
TWTXG,Taichung,USSEA,Seattle,Evergreen Marine,Yang Ming Leader,2022-01-31,2022-02-14,2022-02-14,14,15.0,1.0,2022,1,True,83
TWTXG,Taichung,USOAK,Oakland,HMM,Ever Ace,2022-02-03,2022-02-17,2022-02-17,14,14,0,2022,2,True,84
TWKHH,Kaohsiung,USOAK,Oakland,COSCO Shipping,COSCO Glory,2022-02-04,2022-02-17,2022-02-17,13,13,0,2022,2,True,85
TWTXG,Taichung,USLGB,Long Beach,Wan Hai Lines,Wan Hai Pearl,2022-02-03,2022-02-17,2022-02-17,14,14,0,2022,2,True,86
TWKHH,Kaohsiung,USLAX,Los Angeles,Wan Hai Lines,ONE Leader,2022-01-29,2022-02-12,2022-02-12,14,14.3,0.3,2022,1,True,87
TWTXG,Taichung,USOAK,Oakland,Yang Ming,COSCO Star,2022-02-01,2022-02-15,2022-02-15,14,14,0,2022,2,True,88
TWTPE,Taipei (Keelung),USSEA,Seattle,HMM,COSCO Glory,2022-01-31,2022-02-14,2022-02-14,14,14,0,2022,1,True,89
TWTXG,Taichung,USLAX,Los Angeles,MSC,Maersk Leader,2022-02-01,2022-02-15,2022-02-15,14,14,0,2022,2,True,90
TWKHH,Kaohsiung,USLAX,Los Angeles,Evergreen Marine,ONE Ace,2022-01-30,2022-02-13,2022-02-13,14,14,0,2022,1,True,91
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Wan Hai Lines,COSCO Success,2022-02-04,2022-02-19,2022-02-19,15,15.2,0.2,2022,2,True,92
TWTXG,Taichung,USSEA,Seattle,Wan Hai Lines,Maersk Pioneer,2022-01-31,2022-02-14,2022-02-14,14,14,0,2022,1,True,93
TWTXG,Taichung,USSEA,Seattle,HMM,Wan Hai Pioneer,2022-01-29,2022-02-12,2022-02-12,14,14,0,2022,1,True,94
TWTPE,Taipei (Keelung),USOAK,Oakland,Yang Ming,ONE Triumph,2022-02-03,2022-02-17,2022-02-17,14,14,0,2022,2,True,95
TWTPE,Taipei (Keelung),USSEA,Seattle,HMM,Wan Hai Ace,2022-02-03,2022-02-17,2022-02-17,14,14,0,2022,2,True,96
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Yang Ming,Wan Hai Leader,2022-02-01,2022-02-16,2022-02-16,15,15,0,2022,2,True,97
TWTPE,Taipei (Keelung),USLAX,Los Angeles,ONE (Ocean Network Express),ONE Success,2022-02-04,2022-02-19,2022-02-19,15,15,0,2022,2,True,98
TWKHH,Kaohsiung,USSEA,Seattle,Evergreen Marine,Yang Ming Success,2022-02-01,2022-02-13,2022-02-13,12,12,0,2022,2,True,99
TWTPE,Taipei (Keelung),USSEA,Seattle,HMM,ONE Fortune,2022-02-03,2022-02-17,2022-02-17,14,14,0,2022,2,True,100
TWTPE,Taipei (Keelung),USSEA,Seattle,Evergreen Marine,Maersk Glory,2022-02-11,2022-02-25,2022-02-25,14,14,0,2022,2,True,101
TWKHH,Kaohsiung,USOAK,Oakland,Yang Ming,COSCO Glory,2022-02-06,2022-02-19,2022-02-19,13,13,0,2022,2,True,102
TWTXG,Taichung,USLAX,Los Angeles,Wan Hai Lines,MSC Leader,2022-02-08,2022-02-22,2022-02-22,14,14,0,2022,2,True,103
TWKHH,Kaohsiung,USLAX,Los Angeles,Evergreen Marine,Wan Hai Excellence,2022-02-07,2022-02-21,2022-02-21,14,14,0,2022,2,True,104
TWTPE,Taipei (Keelung),USSEA,Seattle,COSCO Shipping,Maersk Pioneer,2022-02-06,2022-02-20,2022-02-20,14,14,0,2022,2,True,105
TWTXG,Taichung,USLGB,Long Beach,Wan Hai Lines,Ever Unity,2022-02-06,2022-02-20,2022-02-20,14,14,0,2022,2,True,106
TWTPE,Taipei (Keelung),USLGB,Long Beach,Wan Hai Lines,Yang Ming Progress,2022-02-08,2022-02-23,2022-02-24,15,16.5,1.5,2022,2,False,107
TWTXG,Taichung,USOAK,Oakland,Maersk Line,MSC Fortune,2022-02-08,2022-02-22,2022-02-22,14,14,0,2022,2,True,108
TWTPE,Taipei (Keelung),USOAK,Oakland,Wan Hai Lines,Ever Progress,2022-02-10,2022-02-24,2022-02-24,14,14,0,2022,2,True,109
TWTPE,Taipei (Keelung),USOAK,Oakland,ONE (Ocean Network Express),MSC Leader,2022-02-10,2022-02-24,2022-02-24,14,14,0,2022,2,True,110
TWTPE,Taipei (Keelung),USOAK,Oakland,ONE (Ocean Network Express),ONE Progress,2022-02-06,2022-02-20,2022-02-20,14,14,0,2022,2,True,111
TWKHH,Kaohsiung,USLGB,Long Beach,MSC,Maersk Leader,2022-02-08,2022-02-22,2022-02-22,14,14,0,2022,2,True,112
TWTXG,Taichung,USOAK,Oakland,ONE (Ocean Network Express),Wan Hai Fortune,2022-02-05,2022-02-19,2022-02-19,14,14,0,2022,2,True,113
TWTXG,Taichung,USLAX,Los Angeles,HMM,ONE Diamond,2022-02-09,2022-02-23,2022-02-25,14,16.9,2.9,2022,2,False,114
TWTPE,Taipei (Keelung),USLGB,Long Beach,MSC,Yang Ming Ace,2022-02-09,2022-02-24,2022-02-24,15,15,0,2022,2,True,115
TWKHH,Kaohsiung,USOAK,Oakland,Wan Hai Lines,MSC Glory,2022-02-10,2022-02-23,2022-02-23,13,13,0,2022,2,True,116
TWTXG,Taichung,USLAX,Los Angeles,HMM,Ever Unity,2022-02-07,2022-02-21,2022-02-21,14,14,0,2022,2,True,117
TWTPE,Taipei (Keelung),USLGB,Long Beach,Maersk Line,Wan Hai Star,2022-02-05,2022-02-20,2022-02-20,15,15,0,2022,2,True,118
TWTPE,Taipei (Keelung),USLGB,Long Beach,Wan Hai Lines,ONE Success,2022-02-06,2022-02-21,2022-02-21,15,15.4,0.4,2022,2,True,119
TWTPE,Taipei (Keelung),USOAK,Oakland,Wan Hai Lines,Wan Hai Diamond,2022-02-11,2022-02-25,2022-02-25,14,14,0,2022,2,True,120
TWKHH,Kaohsiung,USLAX,Los Angeles,Wan Hai Lines,Yang Ming Success,2022-02-14,2022-02-28,2022-02-28,14,14.0,0.0,2022,2,True,121
TWTPE,Taipei (Keelung),USLGB,Long Beach,Evergreen Marine,Yang Ming Fortune,2022-02-12,2022-02-27,2022-02-27,15,15,0,2022,2,True,122
TWTPE,Taipei (Keelung),USLGB,Long Beach,MSC,Ever Triumph,2022-02-16,2022-03-03,2022-03-03,15,15.7,0.7,2022,2,True,123
TWTPE,Taipei (Keelung),USLAX,Los Angeles,ONE (Ocean Network Express),Maersk Glory,2022-02-13,2022-02-28,2022-02-28,15,15,0,2022,2,True,124
TWTXG,Taichung,USLAX,Los Angeles,HMM,ONE Excellence,2022-02-15,2022-03-01,2022-03-01,14,14,0,2022,2,True,125
TWTXG,Taichung,USLAX,Los Angeles,COSCO Shipping,Maersk Fortune,2022-02-15,2022-03-01,2022-03-03,14,16.1,2.1,2022,2,False,126
TWTXG,Taichung,USOAK,Oakland,Evergreen Marine,Ever Progress,2022-02-15,2022-03-01,2022-03-01,14,14,0,2022,2,True,127
TWTPE,Taipei (Keelung),USSEA,Seattle,Yang Ming,COSCO Star,2022-02-17,2022-03-03,2022-03-03,14,14,0,2022,2,True,128
TWTPE,Taipei (Keelung),USLAX,Los Angeles,MSC,Maersk Triumph,2022-02-12,2022-02-27,2022-02-27,15,15,0,2022,2,True,129
TWKHH,Kaohsiung,USLGB,Long Beach,MSC,COSCO Unity,2022-02-14,2022-02-28,2022-02-28,14,14,0,2022,2,True,130
TWTXG,Taichung,USOAK,Oakland,ONE (Ocean Network Express),Ever Crown,2022-02-15,2022-03-01,2022-03-01,14,14,0,2022,2,True,131
TWTXG,Taichung,USLAX,Los Angeles,COSCO Shipping,COSCO Progress,2022-02-18,2022-03-04,2022-03-04,14,14,0,2022,2,True,132
TWKHH,Kaohsiung,USSEA,Seattle,HMM,COSCO Pioneer,2022-02-14,2022-02-26,2022-02-26,12,12,0,2022,2,True,133
TWTXG,Taichung,USLAX,Los Angeles,ONE (Ocean Network Express),Wan Hai Ace,2022-02-14,2022-02-28,2022-02-28,14,14,0,2022,2,True,134
TWTPE,Taipei (Keelung),USOAK,Oakland,HMM,Ever Glory,2022-02-13,2022-02-27,2022-02-27,14,14,0,2022,2,True,135
TWKHH,Kaohsiung,USLAX,Los Angeles,Yang Ming,MSC Star,2022-02-15,2022-03-01,2022-03-01,14,14.9,0.9,2022,2,True,136
TWTPE,Taipei (Keelung),USLGB,Long Beach,Evergreen Marine,Maersk Success,2022-02-16,2022-03-03,2022-03-03,15,15,0,2022,2,True,137
TWTXG,Taichung,USOAK,Oakland,Yang Ming,COSCO Excellence,2022-02-17,2022-03-03,2022-03-03,14,14,0,2022,2,True,138
TWTXG,Taichung,USSEA,Seattle,Evergreen Marine,Wan Hai Unity,2022-02-18,2022-03-04,2022-03-04,14,14.0,0.0,2022,2,True,139
TWTPE,Taipei (Keelung),USOAK,Oakland,COSCO Shipping,Yang Ming Ace,2022-02-12,2022-02-26,2022-02-26,14,14,0,2022,2,True,140
TWTPE,Taipei (Keelung),USOAK,Oakland,ONE (Ocean Network Express),ONE Glory,2022-02-19,2022-03-05,2022-03-05,14,14,0,2022,2,True,141
TWKHH,Kaohsiung,USSEA,Seattle,ONE (Ocean Network Express),Maersk Glory,2022-02-23,2022-03-07,2022-03-07,12,12.6,0.6,2022,2,True,142
TWTPE,Taipei (Keelung),USOAK,Oakland,MSC,Yang Ming Excellence,2022-02-24,2022-03-10,2022-03-10,14,14,0,2022,2,True,143
TWKHH,Kaohsiung,USLAX,Los Angeles,Yang Ming,Maersk Success,2022-02-23,2022-03-09,2022-03-09,14,14,0,2022,2,True,144
TWKHH,Kaohsiung,USOAK,Oakland,Wan Hai Lines,Yang Ming Glory,2022-02-21,2022-03-06,2022-03-06,13,13,0,2022,2,True,145
TWKHH,Kaohsiung,USOAK,Oakland,Wan Hai Lines,Maersk Triumph,2022-02-20,2022-03-05,2022-03-05,13,13.0,0.0,2022,2,True,146
TWTXG,Taichung,USLAX,Los Angeles,HMM,COSCO Crown,2022-02-20,2022-03-06,2022-03-06,14,14,0,2022,2,True,147
TWTXG,Taichung,USSEA,Seattle,MSC,ONE Ace,2022-02-24,2022-03-10,2022-03-10,14,14,0,2022,2,True,148
TWTPE,Taipei (Keelung),USLGB,Long Beach,Yang Ming,COSCO Progress,2022-02-22,2022-03-09,2022-03-09,15,15,0,2022,2,True,149
TWTXG,Taichung,USOAK,Oakland,Maersk Line,Maersk Fortune,2022-02-25,2022-03-11,2022-03-11,14,14,0,2022,2,True,150
TWTPE,Taipei (Keelung),USLAX,Los Angeles,HMM,COSCO Fortune,2022-02-21,2022-03-08,2022-03-08,15,15,0,2022,2,True,151
TWKHH,Kaohsiung,USOAK,Oakland,Maersk Line,Ever Ace,2022-02-25,2022-03-10,2022-03-10,13,13,0,2022,2,True,152
TWKHH,Kaohsiung,USSEA,Seattle,Evergreen Marine,COSCO Diamond,2022-02-22,2022-03-06,2022-03-06,12,12,0,2022,2,True,153
TWTXG,Taichung,USLGB,Long Beach,HMM,Maersk Triumph,2022-02-21,2022-03-07,2022-03-07,14,14,0,2022,2,True,154
TWKHH,Kaohsiung,USSEA,Seattle,MSC,MSC Glory,2022-02-19,2022-03-03,2022-03-03,12,12,0,2022,2,True,155
TWTXG,Taichung,USLGB,Long Beach,COSCO Shipping,MSC Progress,2022-02-19,2022-03-05,2022-03-05,14,14,0,2022,2,True,156
TWTPE,Taipei (Keelung),USLGB,Long Beach,MSC,Wan Hai Pioneer,2022-02-21,2022-03-08,2022-03-09,15,16.4,1.4,2022,2,False,157
TWTPE,Taipei (Keelung),USOAK,Oakland,Evergreen Marine,ONE Ace,2022-02-24,2022-03-10,2022-03-10,14,14,0,2022,2,True,158
TWTXG,Taichung,USOAK,Oakland,MSC,Ever Success,2022-02-19,2022-03-05,2022-03-05,14,14,0,2022,2,True,159
TWTXG,Taichung,USSEA,Seattle,Maersk Line,MSC Pearl,2022-02-21,2022-03-07,2022-03-07,14,14,0,2022,2,True,160
TWKHH,Kaohsiung,USSEA,Seattle,Evergreen Marine,COSCO Fortune,2022-02-28,2022-03-12,2022-03-12,12,12,0,2022,2,True,161
TWTPE,Taipei (Keelung),USOAK,Oakland,ONE (Ocean Network Express),Ever Excellence,2022-02-27,2022-03-13,2022-03-13,14,14.0,0.0,2022,2,True,162
TWKHH,Kaohsiung,USLAX,Los Angeles,Yang Ming,ONE Star,2022-02-28,2022-03-14,2022-03-14,14,14.4,0.4,2022,2,True,163
TWTXG,Taichung,USOAK,Oakland,Wan Hai Lines,Yang Ming Fortune,2022-03-04,2022-03-18,2022-03-18,14,14,0,2022,3,True,164
TWTPE,Taipei (Keelung),USSEA,Seattle,Wan Hai Lines,ONE Star,2022-03-03,2022-03-17,2022-03-17,14,14.3,0.3,2022,3,True,165
TWTPE,Taipei (Keelung),USSEA,Seattle,Evergreen Marine,Ever Fortune,2022-03-02,2022-03-16,2022-03-16,14,14,0,2022,3,True,166
TWTPE,Taipei (Keelung),USLGB,Long Beach,Wan Hai Lines,Maersk Star,2022-03-04,2022-03-19,2022-03-19,15,15.2,0.2,2022,3,True,167
TWTXG,Taichung,USSEA,Seattle,Maersk Line,Yang Ming Leader,2022-02-26,2022-03-12,2022-03-13,14,15.5,1.5,2022,2,False,168
TWKHH,Kaohsiung,USLAX,Los Angeles,ONE (Ocean Network Express),MSC Crown,2022-02-27,2022-03-13,2022-03-13,14,14,0,2022,2,True,169
TWTXG,Taichung,USSEA,Seattle,Yang Ming,ONE Diamond,2022-02-26,2022-03-12,2022-03-12,14,14,0,2022,2,True,170
TWTPE,Taipei (Keelung),USLAX,Los Angeles,COSCO Shipping,MSC Triumph,2022-03-03,2022-03-18,2022-03-18,15,15,0,2022,3,True,171
TWTPE,Taipei (Keelung),USSEA,Seattle,MSC,Yang Ming Unity,2022-02-26,2022-03-12,2022-03-12,14,14,0,2022,2,True,172
TWTPE,Taipei (Keelung),USLGB,Long Beach,Yang Ming,Maersk Excellence,2022-03-03,2022-03-18,2022-03-18,15,15,0,2022,3,True,173
TWKHH,Kaohsiung,USLAX,Los Angeles,HMM,Ever Ace,2022-03-01,2022-03-15,2022-03-15,14,14,0,2022,3,True,174
TWTPE,Taipei (Keelung),USOAK,Oakland,Evergreen Marine,Wan Hai Crown,2022-02-28,2022-03-14,2022-03-14,14,14,0,2022,2,True,175
TWKHH,Kaohsiung,USOAK,Oakland,Yang Ming,ONE Unity,2022-02-27,2022-03-12,2022-03-12,13,13.1,0.1,2022,2,True,176
TWTXG,Taichung,USOAK,Oakland,Evergreen Marine,Wan Hai Success,2022-02-27,2022-03-13,2022-03-13,14,14,0,2022,2,True,177
TWTPE,Taipei (Keelung),USLGB,Long Beach,HMM,MSC Progress,2022-03-04,2022-03-19,2022-03-19,15,15.9,0.9,2022,3,True,178
