port_code,port_name,date,berth_utilization,wait_time_hours,vessels_waiting,congestion_level
USSEA,Seattle,2022-01-14,0.589,8.0,20,low
USLAX,Los Angeles,2022-01-15,0.681,19.5,27,low
USLGB,Long Beach,2022-01-15,0.646,15.5,20,low
USOAK,Oakland,2022-01-15,0.645,16.1,21,low
USSEA,Seattle,2022-01-15,0.538,3.3,25,low
USLAX,Los Angeles,2022-01-16,0.754,20.8,27,medium
USLGB,Long Beach,2022-01-16,0.773,26.8,34,medium
USOAK,Oakland,2022-01-16,0.63,15.6,26,low
USSEA,Seattle,2022-01-16,0.624,14.4,26,low
USLAX,Los Angeles,2022-01-17,0.799,30.0,36,medium
USLGB,Long Beach,2022-01-17,0.71,24.3,31,medium
USOAK,Oakland,2022-01-17,0.595,8.6,21,low
USSEA,Seattle,2022-01-17,0.573,8.0,23,low
USLAX,Los Angeles,2022-01-18,0.779,25.3,25,medium
USLGB,Long Beach,2022-01-18,0.655,14.1,24,low
USOAK,Oakland,2022-01-18,0.607,9.2,21,low
USSEA,Seattle,2022-01-18,0.582,8.9,19,low
USLAX,Los Angeles,2022-01-19,0.729,23.3,28,medium
USLGB,Long Beach,2022-01-19,0.638,13.4,29,low
USOAK,Oakland,2022-01-19,0.615,12.4,28,low
USSEA,Seattle,2022-01-19,0.594,8.9,19,low
USLAX,Los Angeles,2022-01-20,0.717,23.9,32,medium
USLGB,Long Beach,2022-01-20,0.795,28.6,34,medium
USOAK,Oakland,2022-01-20,0.608,11.3,21,low
USSEA,Seattle,2022-01-20,0.504,0.4,16,low
USLAX,Los Angeles,2022-01-21,0.713,22.8,27,medium
USLGB,Long Beach,2022-01-21,0.63,12.8,21,low
USOAK,Oakland,2022-01-21,0.622,9.9,23,low
USSEA,Seattle,2022-01-21,0.561,4.9,23,low
USLAX,Los Angeles,2022-01-22,0.696,17.8,28,low
USLGB,Long Beach,2022-01-22,0.78,28.6,31,medium
USOAK,Oakland,2022-01-22,0.544,4.0,20,low
USSEA,Seattle,2022-01-22,0.559,5.3,22,low
USLAX,Los Angeles,2022-01-23,0.798,29.1,25,medium
USLGB,Long Beach,2022-01-23,0.657,15.1,23,low
USOAK,Oakland,2022-01-23,0.63,12.3,25,low
USSEA,Seattle,2022-01-23,0.524,2.9,21,low
USLAX,Los Angeles,2022-01-24,0.717,21.3,26,medium
USLGB,Long Beach,2022-01-24,0.643,15.6,23,low
USOAK,Oakland,2022-01-24,0.644,17.0,27,low
USSEA,Seattle,2022-01-24,0.499,0,18,low
USLAX,Los Angeles,2022-01-25,0.77,29.8,31,medium
USLGB,Long Beach,2022-01-25,0.801,34.1,29,medium
USOAK,Oakland,2022-01-25,0.575,6.9,24,low
USSEA,Seattle,2022-01-25,0.488,0,16,low
USLAX,Los Angeles,2022-01-26,0.703,23.9,29,medium
USLGB,Long Beach,2022-01-26,0.753,21.3,24,medium
USOAK,Oakland,2022-01-26,0.561,6.1,21,low
USSEA,Seattle,2022-01-26,0.627,11.4,28,low
USLAX,Los Angeles,2022-01-27,0.663,13.5,26,low
USLGB,Long Beach,2022-01-27,0.716,23.2,24,medium
USOAK,Oakland,2022-01-27,0.656,18.4,21,low
USSEA,Seattle,2022-01-27,0.508,0.9,19,low
USLAX,Los Angeles,2022-01-28,0.772,28.4,34,medium
USLGB,Long Beach,2022-01-28,0.675,20.3,24,low
USOAK,Oakland,2022-01-28,0.616,11.3,25,low
USSEA,Seattle,2022-01-28,0.477,0,16,low
USLAX,Los Angeles,2022-01-29,0.683,18.7,32,low
USLGB,Long Beach,2022-01-29,0.687,20.2,23,low
USOAK,Oakland,2022-01-29,0.685,19.3,24,low
USSEA,Seattle,2022-01-29,0.494,0,20,low
USLAX,Los Angeles,2022-01-30,0.658,19.0,30,low
USLGB,Long Beach,2022-01-30,0.692,16.3,31,low
USOAK,Oakland,2022-01-30,0.6,10.8,24,low
USSEA,Seattle,2022-01-30,0.513,1.4,24,low
USLAX,Los Angeles,2022-01-31,0.692,19.6,26,low
USLGB,Long Beach,2022-01-31,0.789,29.0,36,medium
USOAK,Oakland,2022-01-31,0.666,15.1,29,low
USSEA,Seattle,2022-01-31,0.536,4.2,21,low
USLAX,Los Angeles,2022-02-01,0.74,21.9,27,medium
USLGB,Long Beach,2022-02-01,0.646,17.6,25,low
USOAK,Oakland,2022-02-01,0.483,0,18,low
USSEA,Seattle,2022-02-01,0.503,0.3,19,low
USLAX,Los Angeles,2022-02-02,0.639,12.2,27,low
USLGB,Long Beach,2022-02-02,0.644,12.8,28,low
USOAK,Oakland,2022-02-02,0.466,0,20,low
USSEA,Seattle,2022-02-02,0.541,3.9,23,low
USLAX,Los Angeles,2022-02-03,0.74,28.6,29,medium
USLGB,Long Beach,2022-02-03,0.542,4.3,22,low
USOAK,Oakland,2022-02-03,0.6,11.5,23,low
USSEA,Seattle,2022-02-03,0.499,0,21,low
USLAX,Los Angeles,2022-02-04,0.657,16.6,22,low
USLGB,Long Beach,2022-02-04,0.624,14.8,23,low
USOAK,Oakland,2022-02-04,0.571,7.5,26,low
USSEA,Seattle,2022-02-04,0.547,5.4,20,low
USLAX,Los Angeles,2022-02-05,0.741,23.9,33,medium
USLGB,Long Beach,2022-02-05,0.677,16.5,22,low
USOAK,Oakland,2022-02-05,0.615,9.8,29,low
USSEA,Seattle,2022-02-05,0.548,5.3,26,low
USLAX,Los Angeles,2022-02-06,0.77,30.2,29,medium
USLGB,Long Beach,2022-02-06,0.685,14.9,27,low
USOAK,Oakland,2022-02-06,0.533,3.5,22,low
USSEA,Seattle,2022-02-06,0.508,0.9,23,low
USLAX,Los Angeles,2022-02-07,0.596,8.6,19,low
USLGB,Long Beach,2022-02-07,0.703,20.8,32,medium
USOAK,Oakland,2022-02-07,0.495,0,22,low
USSEA,Seattle,2022-02-07,0.556,5.1,21,low
USLAX,Los Angeles,2022-02-08,0.602,12.0,22,low
USLGB,Long Beach,2022-02-08,0.629,10.8,29,low
USOAK,Oakland,2022-02-08,0.481,0,20,low
USSEA,Seattle,2022-02-08,0.531,3.7,20,low
USLAX,Los Angeles,2022-02-09,0.724,19.3,27,medium
USLGB,Long Beach,2022-02-09,0.554,5.4,21,low
USOAK,Oakland,2022-02-09,0.613,9.2,23,low
USSEA,Seattle,2022-02-09,0.487,0,22,low
USLAX,Los Angeles,2022-02-10,0.594,10.1,24,low
USLGB,Long Beach,2022-02-10,0.72,20.8,27,medium
USOAK,Oakland,2022-02-10,0.49,0,22,low
USSEA,Seattle,2022-02-10,0.488,0,20,low
USLAX,Los Angeles,2022-02-11,0.695,15.7,30,low
USLGB,Long Beach,2022-02-11,0.582,6.9,23,low
USOAK,Oakland,2022-02-11,0.47,0,16,low
USSEA,Seattle,2022-02-11,0.453,0,16,low
USLAX,Los Angeles,2022-02-12,0.671,19.5,25,low
USLGB,Long Beach,2022-02-12,0.641,11.9,23,low
USOAK,Oakland,2022-02-12,0.496,0,20,low
USSEA,Seattle,2022-02-12,0.535,3.6,22,low
USLAX,Los Angeles,2022-02-13,0.686,19.5,29,low
USLGB,Long Beach,2022-02-13,0.667,13.5,24,low
USOAK,Oakland,2022-02-13,0.583,9.6,21,low
USSEA,Seattle,2022-02-13,0.448,0,19,low
USLAX,Los Angeles,2022-02-14,0.588,9.6,27,low
USLGB,Long Beach,2022-02-14,0.553,5.3,21,low
USOAK,Oakland,2022-02-14,0.532,2.8,19,low
USSEA,Seattle,2022-02-14,0.469,0,19,low
USLAX,Los Angeles,2022-02-15,0.753,21.8,33,medium
USLGB,Long Beach,2022-02-15,0.545,3.7,21,low
USOAK,Oakland,2022-02-15,0.528,2.9,20,low
USSEA,Seattle,2022-02-15,0.453,0,16,low
USLAX,Los Angeles,2022-02-16,0.596,10.3,24,low
USLGB,Long Beach,2022-02-16,0.635,12.5,22,low
USOAK,Oakland,2022-02-16,0.618,9.7,21,low
USSEA,Seattle,2022-02-16,0.561,6.8,24,low
USLAX,Los Angeles,2022-02-17,0.632,11.2,25,low
USLGB,Long Beach,2022-02-17,0.617,10.0,24,low
USOAK,Oakland,2022-02-17,0.496,0,21,low
USSEA,Seattle,2022-02-17,0.473,0,20,low
USLAX,Los Angeles,2022-02-18,0.662,15.9,22,low
USLGB,Long Beach,2022-02-18,0.595,9.2,22,low
USOAK,Oakland,2022-02-18,0.563,5.7,21,low
USSEA,Seattle,2022-02-18,0.564,5.6,26,low
USLAX,Los Angeles,2022-02-19,0.707,24.0,32,medium
USLGB,Long Beach,2022-02-19,0.599,10.2,20,low
USOAK,Oakland,2022-02-19,0.516,1.9,22,low
USSEA,Seattle,2022-02-19,0.479,0,22,low
USLAX,Los Angeles,2022-02-20,0.636,13.0,28,low
USLGB,Long Beach,2022-02-20,0.689,20.2,31,low
USOAK,Oakland,2022-02-20,0.579,8.5,23,low
USSEA,Seattle,2022-02-20,0.517,1.6,19,low
USLAX,Los Angeles,2022-02-21,0.647,12.8,22,low
USLGB,Long Beach,2022-02-21,0.715,21.3,25,medium
USOAK,Oakland,2022-02-21,0.481,0,21,low
USSEA,Seattle,2022-02-21,0.436,0,19,low
USLAX,Los Angeles,2022-02-22,0.753,20.6,28,medium
USLGB,Long Beach,2022-02-22,0.68,15.4,25,low
USOAK,Oakland,2022-02-22,0.485,0,21,low
USSEA,Seattle,2022-02-22,0.541,3.5,21,low
USLAX,Los Angeles,2022-02-23,0.657,16.8,23,low
USLGB,Long Beach,2022-02-23,0.619,10.9,27,low
USOAK,Oakland,2022-02-23,0.532,3.2,19,low
USSEA,Seattle,2022-02-23,0.541,4.0,24,low
USLAX,Los Angeles,2022-02-24,0.648,17.5,30,low
USLGB,Long Beach,2022-02-24,0.623,11.2,23,low
USOAK,Oakland,2022-02-24,0.544,5.3,24,low
USSEA,Seattle,2022-02-24,0.54,3.4,19,low
USLAX,Los Angeles,2022-02-25,0.704,23.4,28,medium
USLGB,Long Beach,2022-02-25,0.555,6.2,25,low
USOAK,Oakland,2022-02-25,0.505,0.6,18,low
USSEA,Seattle,2022-02-25,0.555,4.7,21,low
USLAX,Los Angeles,2022-02-26,0.614,9.3,28,low
USLGB,Long Beach,2022-02-26,0.633,15.9,25,low
USOAK,Oakland,2022-02-26,0.5,0.0,17,low
USSEA,Seattle,2022-02-26,0.474,0,21,low
USLAX,Los Angeles,2022-02-27,0.641,12.0,24,low
USLGB,Long Beach,2022-02-27,0.704,22.3,32,medium
USOAK,Oakland,2022-02-27,0.522,2.6,20,low
USSEA,Seattle,2022-02-27,0.495,0,19,low
USLAX,Los Angeles,2022-02-28,0.736,25.7,24,medium
USLGB,Long Beach,2022-02-28,0.649,16.9,26,low
USOAK,Oakland,2022-02-28,0.511,0.9,21,low
USSEA,Seattle,2022-02-28,0.466,0,18,low
USLAX,Los Angeles,2022-03-01,0.793,27.5,25,medium
USLGB,Long Beach,2022-03-01,0.778,26.1,37,medium
USOAK,Oakland,2022-03-01,0.559,7.1,26,low
USSEA,Seattle,2022-03-01,0.48,0,18,low
USLAX,Los Angeles,2022-03-02,0.818,34.1,38,medium
USLGB,Long Beach,2022-03-02,0.625,13.0,27,low
USOAK,Oakland,2022-03-02,0.516,1.3,22,low
USSEA,Seattle,2022-03-02,0.528,2.7,21,low
USLAX,Los Angeles,2022-03-03,0.774,29.3,36,medium
USLGB,Long Beach,2022-03-03,0.673,19.1,27,low
USOAK,Oakland,2022-03-03,0.605,10.1,25,low
USSEA,Seattle,2022-03-03,0.509,0.7,22,low
USLAX,Los Angeles,2022-03-04,0.75,23.8,30,medium
USLGB,Long Beach,2022-03-04,0.65,13.6,25,low
USOAK,Oakland,2022-03-04,0.689,17.3,32,low
USSEA,Seattle,2022-03-04,0.549,4.1,25,low
USLAX,Los Angeles,2022-03-05,0.819,34.2,30,medium
USLGB,Long Beach,2022-03-05,0.61,9.1,23,low
USOAK,Oakland,2022-03-05,0.597,8.6,24,low
USSEA,Seattle,2022-03-05,0.519,2.1,22,low
USLAX,Los Angeles,2022-03-06,0.831,39.4,28,medium
USLGB,Long Beach,2022-03-06,0.673,17.7,24,low
USOAK,Oakland,2022-03-06,0.594,8.5,21,low
USSEA,Seattle,2022-03-06,0.483,0,18,low
USLAX,Los Angeles,2022-03-07,0.776,24.8,35,medium
USLGB,Long Beach,2022-03-07,0.629,12.0,25,low
USOAK,Oakland,2022-03-07,0.566,7.3,22,low
USSEA,Seattle,2022-03-07,0.552,5.2,20,low
USLAX,Los Angeles,2022-03-08,0.643,16.8,25,low
USLGB,Long Beach,2022-03-08,0.798,26.4,30,medium
USOAK,Oakland,2022-03-08,0.519,1.9,23,low
USSEA,Seattle,2022-03-08,0.575,7.5,23,low
USLAX,Los Angeles,2022-03-09,0.828,31.9,38,medium
USLGB,Long Beach,2022-03-09,0.748,27.4,28,medium
USOAK,Oakland,2022-03-09,0.582,8.4,20,low
USSEA,Seattle,2022-03-09,0.559,4.9,22,low
USLAX,Los Angeles,2022-03-10,0.809,28.2,38,medium
USLGB,Long Beach,2022-03-10,0.738,20.2,35,medium
USOAK,Oakland,2022-03-10,0.581,9.0,21,low
USSEA,Seattle,2022-03-10,0.622,13.5,21,low
USLAX,Los Angeles,2022-03-11,0.752,25.2,24,medium
USLGB,Long Beach,2022-03-11,0.624,11.6,24,low
USOAK,Oakland,2022-03-11,0.592,9.6,23,low
USSEA,Seattle,2022-03-11,0.522,2.3,18,low
USLAX,Los Angeles,2022-03-12,0.699,16.8,30,low
USLGB,Long Beach,2022-03-12,0.645,11.9,29,low
USOAK,Oakland,2022-03-12,0.551,4.5,18,low
USSEA,Seattle,2022-03-12,0.522,2.2,22,low
USLAX,Los Angeles,2022-03-13,0.668,20.0,31,low
USLGB,Long Beach,2022-03-13,0.628,13.6,28,low
USOAK,Oakland,2022-03-13,0.596,10.1,26,low
USSEA,Seattle,2022-03-13,0.515,1.4,16,low
USLAX,Los Angeles,2022-03-14,0.81,32.9,28,medium
USLGB,Long Beach,2022-03-14,0.75,28.5,24,medium
USOAK,Oakland,2022-03-14,0.676,17.0,30,low
USSEA,Seattle,2022-03-14,0.622,9.9,28,low
USLAX,Los Angeles,2022-03-15,0.815,27.5,35,medium
USLGB,Long Beach,2022-03-15,0.778,25.5,25,medium
USOAK,Oakland,2022-03-15,0.564,6.6,26,low
USSEA,Seattle,2022-03-15,0.523,2.2,22,low
USLAX,Los Angeles,2022-03-16,0.755,29.5,25,medium
USLGB,Long Beach,2022-03-16,0.701,18.3,31,medium
USOAK,Oakland,2022-03-16,0.57,7.6,24,low
USSEA,Seattle,2022-03-16,0.586,6.9,21,low
USLAX,Los Angeles,2022-03-17,0.704,21.8,24,medium
USLGB,Long Beach,2022-03-17,0.723,23.6,27,medium
USOAK,Oakland,2022-03-17,0.587,8.1,22,low
USSEA,Seattle,2022-03-17,0.483,0,19,low
USLAX,Los Angeles,2022-03-18,0.848,27.9,32,medium
USLGB,Long Beach,2022-03-18,0.689,17.1,25,low
USOAK,Oakland,2022-03-18,0.615,11.8,22,low
USSEA,Seattle,2022-03-18,0.527,2.4,22,low
USLAX,Los Angeles,2022-03-19,0.858,35.2,37,high
USLGB,Long Beach,2022-03-19,0.684,17.5,24,low
USOAK,Oakland,2022-03-19,0.593,8.0,20,low
USSEA,Seattle,2022-03-19,0.612,12.4,19,low
USLAX,Los Angeles,2022-03-20,0.786,29.9,36,medium
USLGB,Long Beach,2022-03-20,0.782,25.2,25,medium
USOAK,Oakland,2022-03-20,0.617,11.4,26,low
USSEA,Seattle,2022-03-20,0.611,10.0,19,low
USLAX,Los Angeles,2022-03-21,0.736,24.0,32,medium
USLGB,Long Beach,2022-03-21,0.758,22.1,36,medium
USOAK,Oakland,2022-03-21,0.552,6.1,22,low
USSEA,Seattle,2022-03-21,0.563,7.0,25,low
USLAX,Los Angeles,2022-03-22,0.691,22.0,33,low
USLGB,Long Beach,2022-03-22,0.704,19.7,25,medium
USOAK,Oakland,2022-03-22,0.61,11.4,26,low
USSEA,Seattle,2022-03-22,0.496,0,20,low
USLAX,Los Angeles,2022-03-23,0.648,13.9,27,low
USLGB,Long Beach,2022-03-23,0.675,17.7,29,low
USOAK,Oakland,2022-03-23,0.583,7.7,20,low
USSEA,Seattle,2022-03-23,0.556,5.0,19,low
USLAX,Los Angeles,2022-03-24,0.83,28.3,32,medium
USLGB,Long Beach,2022-03-24,0.607,10.3,23,low
USOAK,Oakland,2022-03-24,0.605,10.1,21,low
USSEA,Seattle,2022-03-24,0.522,1.8,20,low
USLAX,Los Angeles,2022-03-25,0.721,22.4,32,medium
USLGB,Long Beach,2022-03-25,0.606,10.1,25,low
USOAK,Oakland,2022-03-25,0.517,1.4,23,low
USSEA,Seattle,2022-03-25,0.564,6.9,20,low
USLAX,Los Angeles,2022-03-26,0.777,25.0,29,medium
USLGB,Long Beach,2022-03-26,0.762,21.8,36,medium
USOAK,Oakland,2022-03-26,0.593,8.3,25,low
USSEA,Seattle,2022-03-26,0.517,1.9,17,low
USLAX,Los Angeles,2022-03-27,0.861,38.2,27,high
USLGB,Long Beach,2022-03-27,0.68,17.1,26,low
USOAK,Oakland,2022-03-27,0.625,13.5,20,low
USSEA,Seattle,2022-03-27,0.607,11.3,22,low
USLAX,Los Angeles,2022-03-28,0.857,42.5,39,high
USLGB,Long Beach,2022-03-28,0.788,25.7,36,medium
USOAK,Oakland,2022-03-28,0.635,13.8,23,low
USSEA,Seattle,2022-03-28,0.62,12.9,22,low
USLAX,Los Angeles,2022-03-29,0.76,27.6,26,medium
USLGB,Long Beach,2022-03-29,0.774,22.1,27,medium
USOAK,Oakland,2022-03-29,0.536,4.1,24,low
USSEA,Seattle,2022-03-29,0.621,11.1,25,low
USLAX,Los Angeles,2022-03-30,0.765,30.2,32,medium
USLGB,Long Beach,2022-03-30,0.709,19.9,31,medium
USOAK,Oakland,2022-03-30,0.652,16.4,21,low
USSEA,Seattle,2022-03-30,0.591,8.5,19,low
USLAX,Los Angeles,2022-03-31,0.69,15.8,28,low
USLGB,Long Beach,2022-03-31,0.724,23.2,34,medium
USOAK,Oakland,2022-03-31,0.569,7.2,25,low
USSEA,Seattle,2022-03-31,0.542,3.7,22,low
USLAX,Los Angeles,2022-04-01,0.722,19.4,29,medium
USLGB,Long Beach,2022-04-01,0.675,19.4,24,low
USOAK,Oakland,2022-04-01,0.554,4.5,20,low
USSEA,Seattle,2022-04-01,0.53,3.4,18,low
USLAX,Los Angeles,2022-04-02,0.706,18.5,24,medium
USLGB,Long Beach,2022-04-02,0.684,17.5,26,low
USOAK,Oakland,2022-04-02,0.618,12.1,25,low
USSEA,Seattle,2022-04-02,0.62,13.8,23,low
USLAX,Los Angeles,2022-04-03,0.646,17.3,27,low
USLGB,Long Beach,2022-04-03,0.766,27.6,35,medium
USOAK,Oakland,2022-04-03,0.53,2.7,22,low
USSEA,Seattle,2022-04-03,0.495,0,20,low
USLAX,Los Angeles,2022-04-04,0.783,29.9,37,medium
USLGB,Long Beach,2022-04-04,0.665,18.4,22,low
USOAK,Oakland,2022-04-04,0.528,2.5,23,low
USSEA,Seattle,2022-04-04,0.56,6.4,19,low
USLAX,Los Angeles,2022-04-05,0.722,21.8,30,medium
USLGB,Long Beach,2022-04-05,0.74,20.6,35,medium
USOAK,Oakland,2022-04-05,0.597,8.9,27,low
USSEA,Seattle,2022-04-05,0.482,0,21,low
USLAX,Los Angeles,2022-04-06,0.716,20.2,31,medium
USLGB,Long Beach,2022-04-06,0.704,19.2,23,medium
USOAK,Oakland,2022-04-06,0.64,13.7,21,low
USSEA,Seattle,2022-04-06,0.475,0,15,low
USLAX,Los Angeles,2022-04-07,0.715,18.1,32,medium
USLGB,Long Beach,2022-04-07,0.79,31.8,31,medium
USOAK,Oakland,2022-04-07,0.609,10.2,23,low
USSEA,Seattle,2022-04-07,0.544,4.9,22,low
USLAX,Los Angeles,2022-04-08,0.679,19.1,26,low
USLGB,Long Beach,2022-04-08,0.75,28.8,29,medium
USOAK,Oakland,2022-04-08,0.587,7.0,20,low
USSEA,Seattle,2022-04-08,0.513,1.5,22,low
USLAX,Los Angeles,2022-04-09,0.691,21.5,28,low
USLGB,Long Beach,2022-04-09,0.669,18.3,28,low
USOAK,Oakland,2022-04-09,0.54,3.4,19,low
USSEA,Seattle,2022-04-09,0.502,0.1,18,low
USLAX,Los Angeles,2022-04-10,0.701,20.4,26,medium
USLGB,Long Beach,2022-04-10,0.743,22.2,26,medium
USOAK,Oakland,2022-04-10,0.664,19.6,28,low
USSEA,Seattle,2022-04-10,0.483,0,21,low
USLAX,Los Angeles,2022-04-11,0.844,41.2,38,medium
USLGB,Long Beach,2022-04-11,0.622,13.9,22,low
USOAK,Oakland,2022-04-11,0.638,15.6,28,low
USSEA,Seattle,2022-04-11,0.579,7.9,23,low
USLAX,Los Angeles,2022-04-12,0.698,19.1,27,low
USLGB,Long Beach,2022-04-12,0.728,26.3,24,medium
USOAK,Oakland,2022-04-12,0.603,9.4,28,low
USSEA,Seattle,2022-04-12,0.528,3.4,19,low
USLAX,Los Angeles,2022-04-13,0.638,15.3,27,low
USLGB,Long Beach,2022-04-13,0.748,24.4,31,medium
USOAK,Oakland,2022-04-13,0.574,6.1,23,low
USSEA,Seattle,2022-04-13,0.503,0.3,17,low
USLAX,Los Angeles,2022-04-14,0.698,22.4,26,low
USLGB,Long Beach,2022-04-14,0.716,22.2,28,medium
USOAK,Oakland,2022-04-14,0.572,7.7,18,low
USSEA,Seattle,2022-04-14,0.484,0,19,low
USLAX,Los Angeles,2022-04-15,0.665,18.9,25,low
USLGB,Long Beach,2022-04-15,0.595,11.3,20,low
USOAK,Oakland,2022-04-15,0.634,11.4,26,low
USSEA,Seattle,2022-04-15,0.494,0,17,low
USLAX,Los Angeles,2022-04-16,0.852,39.0,27,high
USLGB,Long Beach,2022-04-16,0.609,9.9,19,low
USOAK,Oakland,2022-04-16,0.521,2.3,20,low
USSEA,Seattle,2022-04-16,0.571,7.1,22,low
USLAX,Los Angeles,2022-04-17,0.795,24.6,32,medium
USLGB,Long Beach,2022-04-17,0.724,20.4,26,medium
USOAK,Oakland,2022-04-17,0.602,9.0,27,low
USSEA,Seattle,2022-04-17,0.556,5.4,23,low
USLAX,Los Angeles,2022-04-18,0.825,34.9,27,medium
USLGB,Long Beach,2022-04-18,0.742,26.4,33,medium
USOAK,Oakland,2022-04-18,0.52,1.7,20,low
USSEA,Seattle,2022-04-18,0.542,4.4,20,low
USLAX,Los Angeles,2022-04-19,0.804,33.4,27,medium
USLGB,Long Beach,2022-04-19,0.744,26.3,25,medium
USOAK,Oakland,2022-04-19,0.682,18.3,30,low
USSEA,Seattle,2022-04-19,0.586,7.5,19,low
USLAX,Los Angeles,2022-04-20,0.813,28.4,37,medium
USLGB,Long Beach,2022-04-20,0.757,20.9,33,medium
USOAK,Oakland,2022-04-20,0.559,4.9,24,low
USSEA,Seattle,2022-04-20,0.563,5.2,22,low
USLAX,Los Angeles,2022-04-21,0.719,21.8,29,medium
USLGB,Long Beach,2022-04-21,0.672,15.5,22,low
USOAK,Oakland,2022-04-21,0.613,12.3,21,low
USSEA,Seattle,2022-04-21,0.551,4.2,25,low
USLAX,Los Angeles,2022-04-22,0.693,19.0,26,low
USLGB,Long Beach,2022-04-22,0.627,14.8,28,low
USOAK,Oakland,2022-04-22,0.61,12.8,26,low
USSEA,Seattle,2022-04-22,0.537,3.4,20,low
USLAX,Los Angeles,2022-04-23,0.819,29.4,35,medium
USLGB,Long Beach,2022-04-23,0.722,19.6,32,medium
USOAK,Oakland,2022-04-23,0.537,4.0,25,low
USSEA,Seattle,2022-04-23,0.533,2.7,19,low
USLAX,Los Angeles,2022-04-24,0.822,28.0,38,medium
USLGB,Long Beach,2022-04-24,0.774,28.1,31,medium
USOAK,Oakland,2022-04-24,0.527,2.3,23,low
USSEA,Seattle,2022-04-24,0.488,0,21,low
USLAX,Los Angeles,2022-04-25,0.688,16.5,26,low
USLGB,Long Beach,2022-04-25,0.739,28.1,24,medium
USOAK,Oakland,2022-04-25,0.616,13.5,20,low
USSEA,Seattle,2022-04-25,0.632,11.6,26,low
USLAX,Los Angeles,2022-04-26,0.82,26.7,37,medium
USLGB,Long Beach,2022-04-26,0.765,22.5,36,medium
USOAK,Oakland,2022-04-26,0.519,2.2,20,low
USSEA,Seattle,2022-04-26,0.587,8.7,22,low
USLAX,Los Angeles,2022-04-27,0.733,22.0,34,medium
USLGB,Long Beach,2022-04-27,0.653,14.9,22,low
